income,age,loan_amount,tenure_months,late_payments,risk_label
866252.6862807128,43.944521423782966,354360.0154594432,50,0,0
995109.0254244718,35.79015519179737,262938.5667913894,3,3,0
704165.152430942,42.89774856896413,377169.8710648345,205,4,1
762868.2046672365,60.75400798645439,50000.0,107,0,0
578733.0051987944,48.711247034316926,414876.57003721036,113,3,0
560758.6751838658,36.73976467832159,126028.62212219005,94,2,0
962505.1644788396,52.012139221639444,263755.9058596868,118,2,0
1071248.0057141646,35.91924626978449,188033.01053738562,237,0,0
785597.9756839332,19.61875464822146,170531.85242790944,198,3,0
1000706.5795784048,29.91913689082596,416082.6787378519,81,1,0
872327.2050095268,21.292080789741444,253229.87986881088,109,2,0
670976.0490789751,36.48486515958692,334650.38817307155,51,1,0
872279.1211016828,40.184183791895514,295307.94211208157,147,1,0
1107607.313293194,56.76437312275283,347704.08272231213,170,1,0
792834.7921780096,43.269273737641626,307682.18910602556,35,1,0
1112928.7311628014,37.80899471191136,171700.77758114302,46,1,0
276050.97918205115,48.294055811834895,399626.681944714,154,3,0
964380.5008750447,18.0,250624.34168386876,69,1,0
817409.4136476342,42.356145581085656,144341.81013402488,93,2,0
740198.5299068266,47.708651938869664,257188.48390340875,64,0,0
818352.1553071005,25.214137542201584,450075.9790634311,165,3,0
402486.21707982145,51.43754043206929,385022.1742113493,212,1,0
756065.6224324976,43.38496407494414,265134.78655921406,49,0,0
871422.5143023493,35.847120860991986,265074.2295681571,149,1,0
1095578.808948303,46.32781866106285,267836.49487826176,74,2,0
696345.9563452705,62.70692857804396,507674.7983560841,192,0,0
638301.2794213624,41.81866255058495,338193.54522315535,5,0,0
699648.5912830927,42.48220586300336,343004.164719107,100,2,0
983080.4235404148,35.40639100459756,403028.3454031842,70,1,0
865750.2219319369,31.501556305352082,323878.9159026514,90,1,0
694047.9592465922,48.303358165442454,274095.7854179297,4,2,0
902653.4866226712,31.439161740911327,280365.01509150217,126,1,0
819415.5098696081,40.715662372193925,292839.8740585936,231,2,0
993728.9981065779,35.223425532348834,296277.7763490158,39,1,0
659589.3812245296,44.78979825746392,372762.95436369797,163,0,0
734467.5706804463,43.33662105286948,305194.58858072996,129,4,1
721578.3693735685,50.375399442578995,373264.0077215579,24,0,0
507297.0103735763,34.89983601145253,291928.3419891418,57,1,0
859224.0554129152,37.30125064706629,307863.51903160906,100,2,0
852211.0544359778,30.212362842176926,100179.93154678924,70,0,0
801022.6913284921,35.55706739923888,391632.76747024816,41,2,0
753082.5733249707,43.77300493044852,334648.84758979926,182,2,0
516925.85158991715,47.56988616645352,399801.0109859652,174,2,0
715870.9354469283,30.778346758223748,50000.0,60,1,0
731457.096694646,48.6960592010566,508837.47047807276,108,2,0
639544.5461556762,53.55637858804951,286041.0371844826,188,2,0
767742.8576667982,44.13434903223701,410818.28167375166,57,1,0
880810.1713629076,58.76795812558066,196009.4072874469,31,3,0
1177237.180242106,32.26210800896427,361277.39050625695,84,2,0
834915.5625663678,27.55345296688583,194658.4436826344,152,1,0
851510.0781445529,22.212797510957213,237623.1039304195,217,2,0
785110.8168467665,54.96044311489183,491403.1353866786,36,2,0
416245.7569401917,46.54365656354058,280931.7599236653,213,3,0
794697.2249101566,39.44415329089545,321743.2873179723,158,2,0
812046.0419882053,42.799686263198204,387006.7730688754,152,2,0
1292648.4224970574,28.745109527016233,349568.18879726046,108,3,0
761527.8070437755,64.45751979616827,315041.89051435766,106,3,0
860309.4684667225,41.292211819752275,336496.1002466225,158,3,0
793057.6460589514,41.09394794604893,540341.5585238275,86,1,0
566264.3924760936,47.25766623898692,294238.1202966415,220,0,0
1028564.5629030041,44.810092317367136,320109.90467149677,135,1,0
950386.6065373549,42.23884024279131,405065.43960076116,163,1,0
958206.3894086094,32.09525544554688,410552.5932957984,183,1,0
618122.5090410522,44.714683571359956,418703.030556038,220,1,0
1080558.8621872198,58.82024496475034,363873.0222029185,14,3,0
519629.7874415438,53.454200461549775,185699.50872695167,120,3,0
917371.418760054,55.93186626639397,463343.1532301096,138,2,0
1238091.1251619956,34.88784323568815,185365.46069813118,80,3,0
601892.7349738623,30.10395179741419,330263.5465239033,144,1,0
686740.4540794456,38.74213079900352,224572.41499806423,182,0,0
819930.2730175282,40.557249122886944,293586.16534070077,223,0,0
699304.8691767602,50.94191518470949,332876.24103034806,106,1,0
489867.3137867735,23.075353702851807,332135.72154502734,217,0,0
813712.5949612055,55.29550319460614,342192.0754235285,205,0,0
587539.257254779,38.419921014210104,461371.1269058647,70,5,1
894718.4861270363,35.7311893005258,345353.430151398,44,2,0
616115.1531532394,29.878956247398325,275584.33647093514,73,1,0
1109986.8810035079,23.451433281342307,396408.7168288357,45,1,0
643349.3415327526,48.231705839619146,418947.048892464,228,3,0
735587.6967588649,40.73317967188404,177239.21848630076,184,0,0
962703.443473934,27.10039100258946,359740.0069849858,107,2,0
553827.136713209,27.04921227936384,370117.27423108986,84,1,0
845491.9869208259,36.64215300709872,270243.6496640008,82,1,0
1061428.5508564855,56.69021525289393,437570.681331162,107,2,0
478503.3530877545,37.40408648636395,284994.4412967473,185,2,0
836926.7717064609,24.96857046881894,312557.64534715423,21,0,0
851976.5588496847,37.54256935914056,282692.81757161306,196,1,0
956364.5743554621,37.27276430252329,301557.90475814673,178,3,0
552609.8578243837,18.0,190372.49131047982,161,0,0
535908.6773831447,39.45705133482188,155994.91174057056,219,0,0
904388.3131233795,37.69065469791322,459450.5063224972,7,2,0
859396.9346466372,46.96206364813418,215303.86516816722,70,4,1
850098.5700691753,58.48956094945345,200860.7650543693,127,2,0
869289.6418993952,51.26565029547757,84660.98863962851,143,1,0
663995.0556843018,37.31111309445169,236103.8252310498,210,1,0
846450.7394322007,28.934740912583298,167691.02065925018,160,0,0
858614.4946597363,65.7335980324986,464201.5160136369,203,3,0
657129.7163947264,40.59218434014488,400981.70893426344,148,3,0
1173154.9022289515,40.13929291912946,231184.96548222762,216,1,0
894766.5841823575,39.758749128899964,525243.5805344309,143,0,0
561739.3005594703,41.98084760767855,398176.5486991594,176,4,1
931310.721726766,38.556395880760576,267516.86164913775,199,1,0
605063.6659545357,34.26337993119763,50059.428512642684,149,1,0
957416.9207484904,34.53141058759608,529094.2572590741,170,2,0
1031719.1158014808,39.672467297840015,161042.75332364038,154,5,1
635863.5363296579,34.56575228866235,135460.12530431082,236,3,0
992675.2258488643,32.871542173228356,402257.043200964,120,0,0
882556.1853872996,41.064302276918966,543975.2406339273,128,4,1
964412.031998898,37.450227825791444,438427.28185105184,142,1,0
1179358.5965307895,55.039929885826886,356390.91200523596,57,0,0
750922.3767994259,18.0,359475.4341665286,165,1,0
649252.767128502,50.91506851922462,385341.5558780308,58,2,0
622097.1140748954,52.46085192497629,375892.8589786765,21,3,0
636837.9430069124,19.266097675918505,328119.1423969376,82,1,0
784579.6581171792,36.573124059196516,310420.1103951876,69,2,0
868230.3949633287,36.28559134004209,293740.68721004773,131,2,0
855338.1598660038,25.924883052821787,224603.54111333238,87,1,0
965436.6498072047,32.22183312409125,271932.4923133226,218,2,0
802600.3783755813,28.894241545341714,130704.31858046146,165,3,0
1090706.8154314633,57.52270443423623,290166.03732052504,216,2,0
747068.6333524088,49.35678393147461,201140.88928490825,49,2,0
1344033.8333179238,52.71555094994159,189641.06827842293,147,2,0
925133.4695530012,47.21672064043235,317989.41511534783,115,2,0
628568.4887167434,28.709482287827708,439200.2286344599,89,0,0
585821.5003877776,34.75479733720226,391831.6606002313,85,0,0
896494.483048637,44.89374561227918,142949.9396376823,128,4,1
755307.4429348299,27.778721911080545,201037.18634296625,140,1,0
942800.0988184183,47.12998430172388,394077.1187988216,189,4,1
894647.5249147089,37.59674601841865,201751.26064616904,169,2,0
785434.2174686254,36.251791924504026,277536.68500029756,161,1,0
630641.256386319,47.10959968203491,355005.2099024552,178,1,0
497030.5550628271,44.4426331148604,203165.55451363645,117,2,0
710697.0095865958,36.3903383418092,310537.550614596,196,1,0
971279.7588646945,51.59329803364248,166597.45050817955,127,0,0
842818.7488260408,29.189366724001026,239863.23560487863,234,2,0
550852.2442576024,46.15935606944264,331978.1934142537,71,1,0
834636.1851702364,45.93101257968384,140700.62664683306,86,0,0
877063.4759457674,36.904535606860094,344047.4737960399,33,1,0
623228.5127597734,43.26133022242118,298036.2201073319,81,2,0
830745.0211891056,27.48886423614697,355248.99544171477,152,2,0
811641.7436892,49.24027019206901,322391.41340646613,61,3,0
571405.9404338754,38.15097863557011,436414.04299738444,61,3,0
871557.4720696567,34.772769794809605,312522.45026479074,98,0,0
912156.9052736468,50.49009225836889,257059.4458874747,28,0,0
1016610.2486350554,32.95656309457241,312229.7503032284,186,4,1
1010760.4104069807,25.915387036364404,354329.8029036388,43,0,0
524466.1264085819,24.433708264760963,304886.00703257043,169,3,0
612434.9920169754,46.06009951345639,304059.1691203882,167,2,0
903007.053441732,27.19570647503717,229800.83121932446,86,2,0
902757.1901824417,57.54794181984364,233709.90824490518,177,4,1
903009.5372612096,19.18070592116278,159739.47282003064,17,2,0
1570546.2981309444,56.96456368290038,474957.6743186939,98,1,0
914178.1021386334,42.11017467202618,175613.67646087147,198,3,0
1027113.1280361197,39.032868881296075,230709.48022040928,238,2,0
990800.3526986404,34.550809131910505,228159.27344308025,198,3,0
930278.2502611596,43.991361143520706,389492.43769444415,98,1,0
736946.1510719309,39.62365297575152,270505.03217079723,65,1,0
951793.8440986535,51.03301882016521,424774.2072673734,74,4,1
645434.9570924856,41.142276486620396,232650.93757561315,85,3,0
752636.2786519983,41.50301761461878,327899.4162223802,5,2,0
702927.2904341794,36.36387787786144,216465.29467402428,2,3,0
816374.8278772645,39.43054376278933,514514.9127773388,22,2,0
1262931.7133347017,43.07801768892059,181240.15809704873,112,1,0
426546.96148165036,22.898316073433744,330982.07102270273,57,2,0
937252.0380749027,26.51814577894287,363377.6880932099,66,2,0
477456.82576206967,47.43264094022715,341379.90974514984,74,2,0
705613.6268421133,41.708654381279416,281471.2341122292,98,0,0
1017790.1193934733,38.16016663647321,287017.93002665736,144,0,0
812856.0038190925,40.184339330653934,304381.14719791093,112,0,0
584451.0444141388,43.47581705361671,285299.79983715113,179,2,0
656939.2581480064,34.60240319690639,396387.91167949094,125,4,1
935919.5497869352,32.216952745976876,521052.30015913513,167,2,0
653926.6736565727,41.958452550976816,244250.82149921663,86,1,0
843291.7179163949,30.21627222384968,163019.70204209222,76,6,1
809114.3679807627,44.082527557144715,291171.7951648745,88,1,0
669679.9304788366,22.974163957621595,557970.9337654319,239,1,0
1228788.817865065,50.29155637325644,219632.54320302693,168,1,0
926783.8044636023,44.72597482413043,463911.68054440676,38,2,0
394971.48266847857,42.56029734313876,467770.0814076441,188,1,0
837290.8629538856,49.82690983945514,244641.17582920054,59,1,0
667642.7070463224,56.65474444462576,356898.3079185275,138,1,0
970486.6669592448,50.1437006501813,462839.66231285385,99,4,1
641495.8523134599,21.591257686683548,262087.2259012513,192,1,0
777052.7117066202,27.204230332642986,279641.9639897638,63,0,0
900997.4557960915,33.75181422304321,241831.90860513563,49,0,0
973151.0388340243,40.26091050210834,198524.32693071332,192,1,0
559940.7185888448,45.17659020469123,235072.2454933993,32,3,0
733099.7528318104,32.742561868465344,177605.97332377435,135,5,1
705010.9377678088,41.86766764477078,303408.3468259226,21,2,0
669334.1534852576,32.44617067646678,223002.67689413583,20,1,0
1153090.8480562195,33.884821970080516,323378.5911790748,154,1,0
880996.3421921912,25.933389031517777,144410.43537963726,127,2,0
547823.209132991,30.767667538890958,333088.02322144574,68,1,0
983572.3894109552,26.483153943836662,383352.89616089244,110,1,0
1224431.2394025265,30.241267470226674,100626.43574285446,116,3,0
1006493.0521102294,50.536417966078396,337405.6569847572,214,4,1
496126.0068091973,30.50601111168057,422766.8992473292,143,1,0
703153.1854267498,66.32382064837391,179035.89813087945,120,1,0
1053382.2298373245,44.93317900880889,467257.2386837703,232,2,0
658466.1068762438,41.84836123694874,341901.90093660454,213,2,0
888763.8856292457,31.416422198187867,229498.81442415912,79,1,0
954926.8106858673,47.003098794089915,294423.0922342294,214,2,0
614613.9056843834,34.24362173762226,355832.6912521722,116,2,0
788094.92878764,41.220098146453616,307600.53914124117,92,0,0
200000.0,65.60084538268795,353875.59924463695,14,2,0
595122.471733142,39.0394010027535,207932.64069206337,155,2,0
749486.369721368,51.49273326285676,316936.0824036078,125,0,0
550443.3636070301,32.96823574874112,158628.55030950197,233,2,0
1126482.260786327,39.65011509503038,288877.39386512997,168,0,0
513971.72440787347,57.7080063563551,209609.23585352104,58,0,0
711991.1026606032,33.730329422122324,226447.00574102334,28,2,0
826148.1154572183,58.12448557996929,423609.3175210437,26,0,0
1088254.657813223,47.07751935455475,409131.01205942687,113,2,0
512827.5697641121,34.37533224105732,360913.8120907177,191,2,0
1032632.7504309919,46.32407739055521,190768.72353274212,66,2,0
802046.6122039175,49.7255444962673,268359.1550305198,153,1,0
603698.2697904098,46.21809962217196,421309.76999791834,131,2,0
892420.6948526541,24.297752801095434,314171.6913639905,200,0,0
839811.939114694,32.728628241751316,531932.9539981694,44,2,0
679956.6245682411,37.52481364448495,339331.7839394372,97,1,0
813960.4169980037,39.25566570899954,319204.91164900316,42,1,0
722937.280627648,46.206720975506784,269088.3535797499,227,1,0
822703.4690502496,41.777010009332535,313354.09047822823,6,1,0
932426.1349042093,26.64655641289899,284753.0163619456,167,1,0
1117203.3632290703,43.801978510059634,370810.8676688591,180,2,0
552436.9002346302,46.10585745283823,395670.2316794584,23,3,0
1226606.6749312533,45.5979044793104,221401.05394920503,89,2,0
409582.4400954996,50.807807255546216,166876.7046442222,123,0,0
769642.9809928833,48.33922154548904,116379.46268967036,178,0,0
917663.4412969153,44.59180079228437,350799.1326912544,171,1,0
856198.3735470065,39.29834288541353,189663.33938261264,147,0,0
675460.0960358812,23.390390664840087,84710.9407047517,197,2,0
758375.5499285449,44.296182191325855,338857.8604530964,51,0,0
701399.8130682334,42.076876871631114,549299.9517432791,11,0,0
682127.0486111577,42.715788371953735,299392.9088460107,12,0,0
969920.4194042049,27.232514241796906,383849.0774451642,74,1,0
871403.0971930095,29.189434595917376,308182.9358547565,8,0,0
661418.0809478692,50.53152853332904,290111.0346808857,152,3,0
979919.9750866501,39.60444846143345,391907.6482987768,220,1,0
861459.9041753219,46.81500697372624,270972.54558113485,41,1,0
962572.4237677921,40.28318376130461,326739.2314071903,164,1,0
925925.7683847224,40.297561394957455,332169.78061960137,229,1,0
634200.9978155856,49.382838059759976,233190.95463569512,85,3,0
687963.7919606061,34.83955271782626,399204.23495365225,72,2,0
949458.7210246524,40.96120776940983,282504.0243304591,55,2,0
922074.0530866929,35.377247112949576,224425.48405071552,137,1,0
795819.6812071704,35.65503772567684,353650.9843570404,47,0,0
823465.4766617564,36.908278765313604,210153.20182089627,143,3,0
1055532.979157685,42.22133771633713,302818.1157369128,176,4,1
681685.722232834,35.212513783365225,299088.10033557966,238,2,0
909419.4762340076,52.55756125573521,408589.5565831578,104,4,1
759561.4695132212,31.053926977804963,347469.8232879953,210,1,0
756463.759354556,38.13128355838641,297497.3041254856,42,0,0
1019755.3703974381,35.60268941725825,381776.62992002873,60,0,0
965083.2697976059,54.46977884353733,439020.7549017313,212,1,0
962701.9272001277,41.965547765115744,355781.03063518624,198,2,0
1061095.7614308659,50.31844539468635,301035.26198433805,12,2,0
804200.7683265518,25.14439626963028,168816.37676498404,130,1,0
936390.5942589928,42.67050265869259,193488.63369246275,7,2,0
737946.6486813088,48.89630795623437,269477.52956453327,80,0,0
864833.2704976884,40.82283989275424,239048.7797840717,131,3,0
773971.3891264631,50.654803750653514,281302.8697014554,109,0,0
819399.1929985436,34.82711549899628,305664.99248971074,3,4,1
919031.4050873828,54.0934744018558,352969.2754356731,27,2,0
636355.8633533055,62.9889812361925,292950.12219409086,114,2,0
1218477.4551370922,36.37161439560341,348650.1643826202,107,3,0
598796.5237000596,35.54497478599228,306447.44148101204,40,1,0
557162.2774424535,54.53384477117701,102453.34336461287,230,1,0
1031622.1747000136,55.795721457307124,206066.46061812458,161,3,0
958332.5387925871,34.771399728467316,285591.2444278385,220,2,0
924823.963410431,35.798131829041424,179030.52571588923,129,1,0
925669.101852856,37.18215391139493,359992.87299962045,8,1,0
797550.645430617,26.55549488965723,453075.08323436975,101,2,0
620549.1257028338,30.813480535158018,421876.1851697317,160,0,0
815160.9116387452,29.95859233247932,278655.7129069792,124,3,0
664567.6576975777,32.32202434895871,449072.6136849952,176,2,0
995023.9466835503,39.65315112613219,314866.7457202112,107,2,0
770588.5236995723,42.342147325365204,266291.40288819605,101,0,0
634900.5606414977,55.50500492814077,238659.73364590603,4,0,0
735722.8316694013,30.01645959261209,269753.03135118715,222,0,0
882586.2908551248,49.843223984765835,261182.31814587713,198,2,0
687255.089439205,37.86011155774491,317041.62223754876,110,1,0
635555.9208867138,39.50536290347567,316057.39810498647,19,2,0
848737.4422983825,46.74819492166604,300304.60201534146,32,0,0
848993.3142217445,28.772779784377015,343693.816974635,137,3,0
698611.364925774,43.82409746184051,419064.6274786341,12,1,0
705792.3388763354,41.66452208213056,394955.4135441324,139,3,0
846409.9874715273,44.92451264008149,151510.20315500966,46,3,0
510383.1317005352,42.89168643907818,50000.0,119,1,0
518507.24512468895,64.55300139910895,393431.99112392735,16,4,1
656311.1557495128,33.62260015748684,163312.1301584579,129,2,0
757310.5696576305,34.690030449981826,277523.45981073164,63,2,0
862181.513119601,33.76859473575236,182988.69739406405,109,2,0
1095071.2433899103,34.44522880839745,119801.95624199804,119,1,0
971531.9246404038,33.62612872693482,354146.27282047877,21,1,0
768012.2940073146,51.89016531107552,375915.51603026467,158,0,0
796196.7584194622,54.20504247989855,242348.95992732805,13,2,0
599494.1270724382,34.29253706250524,50000.0,162,0,0
796297.372801522,31.676444268957713,245375.55517475173,4,2,0
742268.2722159723,44.71415556386404,339180.40054025466,156,2,0
864543.7120676179,34.477769557190285,152108.84312258713,102,1,0
634553.8112895354,46.32931817755511,318335.9919779156,223,2,0
903869.3028482344,42.029230208513,298469.01508270047,59,2,0
1106547.7826005155,24.84255885002768,357929.14996010886,128,2,0
778247.9703086285,55.47505201330061,311958.03684141533,27,3,0
880342.3444197883,57.95877673095522,202693.10591184447,69,1,0
938028.7983422225,33.87211309515614,419657.15016644914,25,3,0
719755.9056228327,36.122984400640156,284147.042697303,131,2,0
844818.4963620834,42.85865390724905,297269.5460490068,97,0,0
802518.480156359,43.34456789987025,206673.2040926804,196,2,0
819535.2197097663,46.5854427267283,255671.77488084897,25,2,0
645398.0432289067,60.102045387663495,211519.7285973099,148,2,0
804902.0348517885,38.2305277250595,282705.3940076577,162,0,0
899599.65824909,32.01702755461546,471170.84801423433,154,0,0
1090228.7215590084,26.20680771985473,162809.88570686436,126,1,0
991854.1652170414,32.69069960058081,138643.86021232588,133,0,0
1230636.4915023113,39.66873027126203,447117.0327493609,227,2,0
646530.4874223901,57.94557863517788,279067.6322848134,189,4,1
974464.1273441357,34.823887009638284,233092.72613400835,220,3,0
836668.4011476703,42.237879516388986,403990.46873960766,221,3,0
1237960.5866435345,39.83577103927248,239438.44602631358,9,1,0
638340.3429289698,51.88393273448084,482600.97135469364,116,2,0
632055.6315638449,65.26932425873622,367792.5871339269,230,3,0
680121.4709111956,34.69131227079679,251208.85918542973,178,1,0
375220.85513803863,35.10560557481778,515730.82132655033,134,2,0
694848.9956638478,50.44160877069072,239428.50769966617,211,2,0
648173.4676892604,46.81891489626312,374209.5372009307,60,3,0
830078.7572952416,58.46707325736034,329929.2580406492,172,1,0
868351.1951554319,45.839281853259635,430174.1289398798,121,1,0
1175234.1678431772,36.40707909212941,456151.1196726853,139,2,0
990084.7676372101,45.90654830692309,303200.4149065767,194,1,0
684619.2688675193,51.087035805829075,224658.21296538165,175,4,1
620317.0657303284,48.204821811973645,345997.21429391165,108,1,0
898383.8343013012,45.07274031107298,232228.4630247894,108,3,0
535953.3585958716,50.666746895891535,501338.7247526623,201,2,0
1166291.7531708707,51.692955904456724,313653.53310827375,213,0,0
1035888.0241442574,53.82158991037527,263467.84486878914,216,1,0
706164.8695790591,46.48709887589643,318468.0305864908,226,1,0
457373.0941818245,38.328819196831454,165287.37104703035,214,2,0
1070774.4748330826,41.46713686433323,202838.59614893486,131,4,1
777092.0309494764,52.06508966508357,420041.39079444256,76,2,0
1047563.2623946923,31.83064329012764,234310.57210286043,220,1,0
481114.46824112657,43.686733088729014,195308.90173180605,30,1,0
680124.9954092454,36.06661187672639,353665.2752527286,218,4,1
801048.7399436366,40.28744822934817,418570.4154662997,21,2,0
809396.1187529484,52.78451862607299,371895.3310665067,156,5,1
709986.9057041513,41.910990680199035,399604.76858058164,218,3,0
924569.9864694998,40.46436548156149,224320.49114305392,190,0,0
586475.9141234811,26.401438590200808,157818.93332581563,161,5,1
771524.1029957413,47.46253566027221,450133.3651955487,213,1,0
824059.1263423797,46.45484181141075,267732.01611578645,163,0,0
902887.7668117498,61.6325472330546,274916.6983544953,180,1,0
942322.975617778,36.92221765046999,432819.4141849058,34,2,0
575071.5816324261,42.19150327663939,355623.000940066,41,1,0
493177.16585287557,42.49383683710755,345588.7772081608,51,2,0
1055535.364379702,55.77453279763475,516500.23449010844,175,1,0
866462.8023959183,39.047044676130476,235648.1769619857,82,0,0
650302.6926886893,42.790215257703395,392784.0128081237,58,1,0
1110230.3951045047,46.078965097165394,305701.3124897085,75,4,1
823134.9268585717,41.86609123156358,326859.2278863257,185,2,0
1035859.4368127653,35.535663854494715,452846.84264125314,23,1,0
813503.6962820218,41.94089992898308,350783.57562896237,176,1,0
1212149.5849763975,50.73631749859772,353829.6079049633,128,3,0
1151068.1684886408,29.7348470058894,407250.7337309802,150,1,0
750207.1703041852,41.32969674146876,263504.7270457115,17,2,0
994314.190190871,32.99879185060827,216079.03326609934,69,3,0
929075.1899170295,51.950466289248425,195519.08059789665,108,0,0
1073726.3115064697,24.768130952162252,103364.34106239982,139,0,0
607015.307883979,34.410781527284115,505620.7129940322,94,0,0
937210.2919996879,43.772118750645205,189679.1634278317,15,2,0
1011684.8973699176,55.65524029234341,277874.6376414228,91,1,0
448252.1027153772,39.34249738927012,272318.6700111079,163,2,0
563348.297466845,34.44800473306802,330740.6697809101,33,0,0
392153.5644479799,58.8115706944059,381573.72125392966,212,2,0
746118.6331110884,25.51986099583756,386047.3488359745,125,1,0
943508.4511591925,18.011940433799182,241692.25614310615,16,0,0
1100471.4104192057,44.40014450053332,283287.82862135884,162,1,0
814818.956083955,34.97945775647389,328257.99504882994,66,3,0
1125723.1091142583,29.78767182869287,275130.88738164527,227,2,0
523979.70835702174,47.08356447299353,460734.55760199926,168,2,0
459323.5121289691,42.43800713771199,349097.4951638251,156,0,0
788890.4602206763,34.359213692632714,373487.7786049817,47,5,1
876813.0897878614,27.196956013291057,366288.1268667413,167,1,0
793461.0503811814,48.724573282801444,417347.3857485325,198,1,0
386511.5799920247,46.50201177958661,318102.1558703707,201,3,0
782175.9920974423,39.00824136220617,170316.80520441534,148,2,0
539106.0998990294,58.466369960476655,339968.7951752642,124,2,0
933934.5097660077,29.299152336738473,234864.3106208171,1,1,0
873319.6492193696,24.74474829075261,247138.33182502433,200,1,0
612024.0427345289,33.080919301187556,358636.4018755093,87,5,1
697226.6165326613,39.54413983644502,423828.3071433636,128,1,0
588157.2956222097,42.43339449322692,302127.1576736062,191,0,0
787464.1805453657,37.5876394214367,330883.30125989637,67,1,0
991028.4641002477,43.520553965142966,470221.4944635238,4,3,0
602854.7907328913,27.48460575809556,324075.31794885686,186,3,0
900809.3031035688,54.437646040732595,560168.3114180395,153,2,0
693948.4763255118,39.178488216074314,356550.96456315444,47,1,0
641425.4335475311,51.172958315881274,123923.72408441824,38,8,1
778593.9280090884,43.42725346377704,375334.16211045324,143,0,0
592951.5355161252,44.567532191537836,338115.83848827775,191,2,0
689270.1389305636,45.69767280232204,428975.27540827455,21,4,1
560424.4214822303,44.47708560017315,367318.13512699585,227,0,0
1192945.0265832779,46.42722759867544,286154.40160162264,57,0,0
807052.7103943457,53.29152530132431,177570.17637106343,117,1,0
660054.8984014828,41.9652116970147,279097.67427139747,181,0,0
842795.9821468444,47.09003757588512,214947.95457906998,46,2,0
777534.390061834,39.102643057127736,241947.65501952774,142,0,0
755806.0800933554,54.40117215449473,358857.84044206096,228,1,0
